pattern,batch-size,algo,bs_position,precision,device_name,median,nruns,ecs
"[[1, 48, 192, 16]]",25088,einsum,bs_first,fp32,Tesla_V100-PCIE-16GB,5063.5,4.0,
"[[1, 48, 192, 16]]",25088,einsum,bs_last,fp32,Tesla_V100-PCIE-16GB,7603.5,16.0,
"[[1, 48, 192, 16]]",25088,dense,bs_first,fp32,Tesla_V100-PCIE-16GB,9433.5,4.0,
"[[1, 48, 192, 16]]",25088,dense,bs_last,fp32,Tesla_V100-PCIE-16GB,9486.0,4.0,
"[[1, 48, 192, 24]]",25088,kernel,bs_first,fp32,Tesla_V100-PCIE-16GB,11022.5,16.0,
"[[1, 48, 192, 24]]",25088,kernel,bs_last,fp32,Tesla_V100-PCIE-16GB,11339.0,32.0,
"[[1, 48, 192, 24]]",25088,monarch,bs_first,fp32,Tesla_V100-PCIE-16GB,6869.5,8.0,
"[[1, 48, 192, 24]]",25088,monarch,bs_last,fp32,Tesla_V100-PCIE-16GB,10006.5,16.0,
"[[1, 48, 192, 24]]",25088,einsum,bs_first,fp32,Tesla_V100-PCIE-16GB,8038.5,4.0,
"[[1, 48, 192, 24]]",25088,einsum,bs_last,fp32,Tesla_V100-PCIE-16GB,5660.0,8.0,
"[[1, 48, 192, 24]]",25088,dense,bs_first,fp32,Tesla_V100-PCIE-16GB,10369.0,2.0,
"[[1, 48, 192, 24]]",25088,dense,bs_last,fp32,Tesla_V100-PCIE-16GB,10366.0,2.0,
"[[1, 48, 192, 32]]",25088,kernel,bs_first,fp32,Tesla_V100-PCIE-16GB,8015.0,8.0,
"[[1, 48, 192, 32]]",25088,kernel,bs_last,fp32,Tesla_V100-PCIE-16GB,7900.5,16.0,
"[[1, 48, 192, 32]]",25088,monarch,bs_first,fp32,Tesla_V100-PCIE-16GB,9987.0,8.0,
"[[1, 48, 192, 32]]",25088,monarch,bs_last,fp32,Tesla_V100-PCIE-16GB,13477.5,16.0,
"[[1, 48, 192, 32]]",25088,einsum,bs_first,fp32,Tesla_V100-PCIE-16GB,5344.0,2.0,
"[[1, 48, 192, 32]]",25088,einsum,bs_last,fp32,Tesla_V100-PCIE-16GB,7523.0,8.0,
"[[1, 48, 192, 32]]",25088,dense,bs_first,fp32,Tesla_V100-PCIE-16GB,17975.5,2.0,
"[[1, 48, 192, 32]]",25088,dense,bs_last,fp32,Tesla_V100-PCIE-16GB,17740.0,2.0,
"[[1, 48, 192, 48]]",25088,kernel,bs_first,fp32,Tesla_V100-PCIE-16GB,6023.0,4.0,
"[[1, 48, 192, 48]]",25088,kernel,bs_last,fp32,Tesla_V100-PCIE-16GB,11338.5,16.0,
"[[1, 48, 192, 48]]",25088,monarch,bs_first,fp32,Tesla_V100-PCIE-16GB,7289.5,4.0,
"[[1, 48, 192, 48]]",25088,monarch,bs_last,fp32,Tesla_V100-PCIE-16GB,10053.0,8.0,
"[[1, 48, 192, 48]]",25088,einsum,bs_first,fp32,Tesla_V100-PCIE-16GB,8141.0,2.0,
"[[1, 48, 192, 48]]",25088,einsum,bs_last,fp32,Tesla_V100-PCIE-16GB,6063.5,4.0,
